Wavelength,Work,label,0.727581795
691.75,17.09506,-1,0.228644194
956.08,38.69586,-1,0.944810843
883.13,46.98094,1,0.09772015
618.15,20.98606,1,0.777321336
937.22,43.40643,1,0.284433369
748.33,48.65354,-1,0.832479323
1002.04,41.59641,1,0.402471235
917.89,48.35979,-1,0.887336143
1042.23,44.17508,-1,0.846571929
638.67,20.69341,1,0.718377312
529.19,9.84021,-1,0.759646491
833.95,50.35867,-1,0.758795832
697.98,23.56239,-1,0.242016605
826.72,46.64652,1,0.867997601
590.03,13.96017,-1,0.865022385
769.47,48.62578,-1,0.885956524
535.36,10.93979,-1,0.232448881
599.08,20.55295,1,0.251213026
691.27,22.93283,1,0.403860886
785.81,49.16816,-1,0.466375754
793.99,50.79118,-1,0.891846361
730.1,46.27958,1,0.008712566
997.2,42.9331,1,0.810151189
893.75,51.32282,-1,0.204293764
715.71,37.87378,-1,0.160450152
892.3,51.79279,-1,0.299690768
840.69,46.25122,1,0.8319744
659.7,18.20906,1,0.459586914
527.77,8.93049,-1,0.808198579
818.05,51.99099,-1,0.122706677
512.6,7.95635,-1,0.343037094
552.93,18.87379,1,0.136175174
852.26,50.61966,-1,0.122804877
550.56,12.82336,-1,0.944991789
632.94,21.07376,1,0.871834716
834.43,51.50816,-1,0.463198719
809.39,46.51546,1,0.45113652
683.14,19.31387,1,0.811979403
1047.56,51.29684,1,0.325588798
797.36,46.2024,1,0.866085485
991.39,37.29854,-1,0.254856343
1023.83,46.57633,-1,0.872714427
898.57,50.43369,-1,0.291583671
1029.15,48.39245,1,0.52541541
544.38,17.55683,1,0.353991723
767.55,49.16861,-1,0.452737952
791.1,46.50319,1,0.903917093
854.19,45.71783,1,0.824008617
583.37,20.23107,1,0.2008756
505.49,7.26082,-1,0.252682943
559.11,18.74941,1,0.918807319
591.46,20.77639,1,0.698300596
996.23,39.73998,-1,0.36615942
934.32,46.67357,-1,0.369505315
699.9,25.9692,-1,0.323817306
648.23,13.41705,-1,0.787597118
818.53,46.51557,1,0.861008957
1000.1,38.47927,-1,0.953688748
708.04,36.82371,1,0.263321942
732.02,45.16635,-1,0.11830706
555.78,19.37275,1,0.967665056
715.23,40.30846,1,0.156297415
959.46,39.29637,1,0.895937525
726.74,45.55309,1,0.04264471
649.18,12.95523,-1,0.377243755
552.93,12.37874,-1,0.955842495
614.34,14.30143,-1,0.149776706
768.03,45.56953,1,0.502981826
1011.24,45.10578,1,0.69440908
716.67,41.78282,1,0.017812021
1041.75,41.31658,-1,0.856446802
509.76,7.91429,-1,0.799645735
720.02,39.76908,-1,0.142384071
503.6,11.5525,1,0.967878789
935.77,44.02742,1,0.856470912
652.05,18.4064,1,0.163791375
604.8,20.80339,1,0.122321574
580.51,13.90466,-1,0.565841486
775.72,48.99119,-1,0.10245759
510.7,11.8031,1,0.936897455
818.53,50.52584,-1,0.765572662
590.99,14.01769,-1,0.748959598
613.86,14.3015,-1,0.996916634
734.41,45.66798,1,0.066952914
556.26,18.78321,1,0.193833965
730.1,44.48615,-1,0.353640536
557.68,13.60859,-1,0.682548638
535.84,15.86512,1,0.133441443
873.96,51.85711,-1,0.026735488
973.49,39.83622,1,0.808496821
944.47,43.48598,1,0.741975891
973.49,35.00294,-1,0.635937804
975.91,37.39397,-1,0.794311475
805.06,51.63863,-1,0.306998761
590.99,20.21654,1,0.531668314
854.67,46.51911,1,0.057357225
944.47,42.502,-1,0.115820219
732.5,45.87245,-1,0.962427039
831.06,50.37532,-1,0.317563695
659.22,18.40679,1,0.614749637
954.14,39.78724,-1,0.690954244
523.03,14.20472,1,0.22961697
913.06,46.8697,1,0.930293334
668.3,17.91729,1,0.803987739
1049.02,36.48409,-1,0.946714203
703.25,33.99574,1,0.63637833
896.64,52.03512,-1,0.811579332
1003.01,38.46956,-1,0.487274205
588.6,14.36798,-1,0.935768801
1003.98,41.16885,1,0.209066754
560.54,19.0733,1,0.407960317
823.83,45.4865,1,0.508768571
921.27,45.94051,1,0.813589954
619.11,20.8453,1,0.3102774
872.03,51.7697,-1,0.747392962
599.56,19.93672,1,0.820533611
508.81,8.18923,-1,0.134828624
633.9,14.1715,-1,0.365594298
595.27,20.15093,1,0.250632289
543.43,12.34632,-1,0.659619978
981.71,38.69596,-1,0.927888817
646.79,12.81411,-1,0.542815149
716.19,37.96291,-1,0.319640105
611.95,21.37338,1,0.284852283
